country,year,sex,age,suicides_no,population
Germany,1990,female,15-24 years,228,5288600
Germany,1990,female,25-34 years,434,6328000
Germany,1990,female,35-54 years,1128,10742900
Germany,1990,female,5-14 years,9,4067900
Germany,1990,female,55-74 years,1417,8537700
Germany,1990,female,75+ years,1174,3978800
Germany,1990,male,15-24 years,800,5565400
Germany,1990,male,25-34 years,1488,6721200
Germany,1990,male,35-54 years,3302,11127100
Germany,1990,male,5-14 years,22,4290400
Germany,1990,male,55-74 years,2406,6593100
Germany,1990,male,75+ years,1516,1717700
Germany,1991,female,15-24 years,185,5100000
Germany,1991,female,25-34 years,411,6488800
Germany,1991,female,35-54 years,1200,10784200
Germany,1991,female,5-14 years,5,4150500
Germany,1991,female,55-74 years,1400,8711800
Germany,1991,female,75+ years,1153,3906500
Germany,1991,male,15-24 years,775,5374900
Germany,1991,male,25-34 years,1523,6923800
Germany,1991,male,35-54 years,3427,11178200
Germany,1991,male,5-14 years,27,4374100
Germany,1991,male,55-74 years,2445,6843000
Germany,1991,male,75+ years,1459,1660100
Germany,1992,female,15-24 years,163,4914400
Germany,1992,female,25-34 years,384,6626000
Germany,1992,female,35-54 years,1093,10830700
Germany,1992,female,5-14 years,12,4236800
Germany,1992,female,55-74 years,1375,8957600
Germany,1992,female,75+ years,1105,3796100
Germany,1992,male,15-24 years,674,5203300
Germany,1992,male,25-34 years,1576,7109900
Germany,1992,male,35-54 years,3250,11253500
Germany,1992,male,5-14 years,26,4466700
Germany,1992,male,55-74 years,2405,7149100
Germany,1992,male,75+ years,1395,1587600
Germany,1993,female,15-24 years,157,4748600
Germany,1993,female,25-34 years,371,6736600
Germany,1993,female,35-54 years,1009,10876700
Germany,1993,female,5-14 years,13,4328200
Germany,1993,female,55-74 years,1296,9235200
Germany,1993,female,75+ years,884,3684600
Germany,1993,male,15-24 years,632,5047700
Germany,1993,male,25-34 years,1467,7256700
Germany,1993,male,35-54 years,3033,11313100
Germany,1993,male,5-14 years,47,4564700
Germany,1993,male,55-74 years,2485,7481800
Germany,1993,male,75+ years,1296,1519500
Germany,1994,female,15-24 years,170,4591200
Germany,1994,female,25-34 years,350,6777700
Germany,1994,female,35-54 years,971,10893100
Germany,1994,female,5-14 years,17,4401600
Germany,1994,female,55-74 years,1261,9477200
Germany,1994,female,75+ years,819,3631600
Germany,1994,male,15-24 years,682,4865000
Germany,1994,male,25-34 years,1541,7293700
Germany,1994,male,35-54 years,3154,11313100
Germany,1994,male,5-14 years,30,4637800
Germany,1994,male,55-74 years,2527,7799100
Germany,1994,male,75+ years,1196,1482300
Germany,1995,female,15-24 years,176,4487000
Germany,1995,female,25-34 years,343,6749100
Germany,1995,female,35-54 years,983,10912900
Germany,1995,female,5-14 years,14,4455000
Germany,1995,female,55-74 years,1266,9630800
Germany,1995,female,75+ years,884,3692800
Germany,1995,male,15-24 years,630,4738700
Germany,1995,male,25-34 years,1452,7257600
Germany,1995,male,35-54 years,3251,11336900
Germany,1995,male,5-14 years,38,4695200
Germany,1995,male,55-74 years,2597,8085300
Germany,1995,male,75+ years,1254,1506200
Germany,1996,female,15-24 years,157,4430800
Germany,1996,female,25-34 years,351,6663000
Germany,1996,female,35-54 years,937,10969800
Germany,1996,female,5-14 years,13,4475900
Germany,1996,female,55-74 years,1249,9712700
Germany,1996,female,75+ years,790,3802500
Germany,1996,male,15-24 years,589,4670600
Germany,1996,male,25-34 years,1441,7162600
Germany,1996,male,35-54 years,3023,11396300
Germany,1996,male,5-14 years,36,4720200
Germany,1996,male,55-74 years,2463,8320900
Germany,1996,male,75+ years,1176,1557200
Germany,1997,female,15-24 years,142,4408500
Germany,1997,female,25-34 years,363,6510000
Germany,1997,female,35-54 years,931,11111600
Germany,1997,female,5-14 years,8,4451600
Germany,1997,female,55-74 years,1175,9736500
Germany,1997,female,75+ years,802,3905400
Germany,1997,male,15-24 years,600,4633400
Germany,1997,male,25-34 years,1345,6985900
Germany,1997,male,35-54 years,3177,11528000
Germany,1997,male,5-14 years,28,4703100
Germany,1997,male,55-74 years,2550,8485700
Germany,1997,male,75+ years,1135,1608200
Germany,1998,female,15-24 years,155,4413700
Germany,1998,female,25-34 years,298,6286800
Germany,1998,female,35-54 years,855,11290200
Germany,1998,female,5-14 years,16,4418600
Germany,1998,female,55-74 years,1048,9724400
Germany,1998,female,75+ years,701,3977300
Germany,1998,male,15-24 years,589,4635800
Germany,1998,male,25-34 years,1251,6712100
Germany,1998,male,35-54 years,3039,11704700
Germany,1998,male,5-14 years,34,4658200
Germany,1998,male,55-74 years,2542,8601300
Germany,1998,male,75+ years,1126,1648000
Germany,1999,female,15-24 years,133,4447600
Germany,1999,female,25-34 years,265,6028800
Germany,1999,female,35-54 years,877,11487800
Germany,1999,female,5-14 years,9,4375300
Germany,1999,female,55-74 years,1045,9734700
Germany,1999,female,75+ years,749,4045200
Germany,1999,male,15-24 years,595,4669200
Germany,1999,male,25-34 years,1132,6411800
Germany,1999,male,35-54 years,2863,11918600
